的		de5	đích		(trợ từ nối định ngữ với danh từ) của (vd. 我的书: sách của tôi; sau tính từ thường không dịch, vd. 好看的衣服: quần áo đẹp)/(trợ từ đặt sau từ ngữ để tạo cụm danh từ) cái …; người …; thứ … (vd. 新的: cái mới; 卖菜的: người bán rau)/(trợ từ cuối câu, nhấn mạnh; hay dùng trong mẫu 是…的 để nhấn mạnh thời gian, nơi chốn, cách thức của việc đã xảy ra, vd. 我是坐飞机来的: tôi đến bằng máy bay)		1	98	cur-ai
是		shi4	thị		là (nối với danh từ, cụm danh từ, vd. 我是学生: tôi là học sinh; trước tính từ thường không dùng 是, vd. 我很忙: tôi bận)/đúng; phải; đúng vậy (vd. 是的: đúng vậy)/(đáp lại mệnh lệnh, lễ phép) vâng; dạ; rõ/(nhấn mạnh) đúng là; quả thật (vd. 他是很忙: anh ấy đúng là rất bận)		1	92	cur-ai
在		zai4	tại		ở; tại (vd. 我在家: tôi ở nhà; 在北京工作: làm việc ở Bắc Kinh)/đang (đặt trước động từ, chỉ hành động đang diễn ra, vd. 他在看书: anh ấy đang đọc sách)/có mặt; có ở đó (vd. 王老师在吗?: thầy Vương có ở đây không?)/còn; còn sống; vẫn tồn tại (vd. 他爷爷还在: ông nội anh ấy vẫn còn sống)		1	92	cur-ai
了		le5	liễu		(trợ từ đặt sau động từ, chỉ hành động đã xong) đã; rồi (vd. 我买了一本书: tôi đã mua một cuốn sách)/(trợ từ cuối câu, chỉ sự thay đổi, tình huống mới) … rồi (vd. 下雨了: mưa rồi)/(trợ từ cuối câu, nhấn mạnh lời nói, hay đi với 太, 可; vd. 太好了: tốt quá)		1	91	cur-ai
我		wo3	ngã		tôi; mình; tớ… (ngôi thứ nhất số ít; tuỳ vai vế có thể nói anh, chị, em, con…)/(đặt trước danh từ) … của tôi; … tôi (vd. 我妈妈: mẹ tôi)		1	90	cur-ai
和		he2	hoà		(nối hai danh từ, đại từ) và; với; cùng (với)/(thể thao) hoà; hoà nhau/hài hoà; hoà thuận; ôn hoà/làm hoà; giảng hoà/(toán học) tổng/(trong từ ghép) Nhật Bản (vd. 和服: kimono)		1	89	cur-ai
不		bu4	bất		(phó từ phủ định, đặt trước động từ, tính từ) không; chẳng/không; không phải (dùng để trả lời phủ định)/(trong từ ghép) bất-; không		1	88	cur-ai
人		ren2	nhân		người; con người/Lượng từ: 个 (gè), 位 (wèi), 名 (míng)		1	87	cur-ai
也		ye3	dã		cũng (vd. 我也是学生: tôi cũng là học sinh)/(trong câu phủ định) cũng không; cũng chẳng (vd. 我也不知道: tôi cũng không biết)/(nhấn mạnh trường hợp cực đoan, bất ngờ) ngay cả … cũng; đến … cũng (vd. 一个人也没有: không có lấy một người)		1	87	cur-ai
你		ni3	nễ		bạn; anh; chị; em… (ngôi thứ hai số ít, cách nói thông thường; lịch sự hơn dùng 您)		1	87	cur-ai
他		ta1	tha		anh ấy; ông ấy; cậu ấy; nó… (ngôi thứ ba số ít, thường chỉ nam)/(đặt trước danh từ) … của anh ấy (vd. 他妈妈: mẹ anh ấy)/(trong từ ghép) khác (vd. 他人: người khác; 他日: ngày khác)		1	87	cur-ai
这	這	zhe4	giá		đây; cái này (vd. 这是我的书: đây là sách của tôi)/này (đặt trước lượng từ hoặc danh từ, vd. 这个人: người này; 这本书: quyển sách này)		1	87	cur-ai
中		zhong1	trung		trong; ở giữa; trong số (vd. 心中: trong lòng; 学生中: trong số học sinh)/giữa; chính giữa; trung tâm (vd. 中间: ở giữa)/trong khi; đang (làm gì, vd. 学习中: đang học)/(phương ngữ) được; ổn; được đấy		1	87	cur-ai
